date,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2018-08-05,0,525.2498009142306,0,0,0,21.259387215989943,0,0,1128.520738426743,0,1637.311514192424,32.53101762374038,0,0,0,0,88.30612341238962,0,0,0,0,91.28160721758684,0,562.4510072514462,0,0,0,0
2018-08-12,0,328.3389852427629,0,0,0,17.065793139763834,0,0,924.7406151595196,0,1874.321226353665,22.46936197690937,0,0,0,0,78.24207625521463,0,0,0,0,76.94675821568939,0,612.1321095788051,0,0,0,0
2018-08-19,0,650.0493072273192,0,0,0,18.40844332827257,0,0,995.414354284862,0,2472.587070224235,24.53495307829241,0,0,0,0,70.04636938312227,0,0,0,0,53.36531006948638,0,682.2728259816658,0,0,0,187.59266453421472
2018-08-26,0,374.4662980653242,0,0,0,13.05340070977956,0,0,879.0056486794247,0,1788.1190261725817,33.89627838029974,0,0,0,0,39.77235497127167,0,0,0,0,36.06365669344553,0,884.0145329847817,0,0,0,0
2018-09-02,0,276.0726878076401,0,0,0,12.133338621831436,0,0,677.8460062204355,0,1642.7902692590244,57.41542356113131,0,0,0,0,57.46737723359271,0,0,0,0,29.321708762890808,0,647.6646226184104,0,0,0,0
2018-09-09,0,406.1804822730131,0,0,0,19.282193150377996,0,0,620.2942840873399,0,1987.0794960809967,97.45408671823397,0,0,0,0,60.411068205803176,0,0,0,0,140.82512466133727,0,696.664803590364,0,0,0,0
2018-09-16,0,341.18001829704787,0,0,0,21.33812542022048,0,0,586.9279865020258,0,2217.4955862248253,41.06340177420483,0,0,0,0,92.59231228466534,0,0,0,0,34.30461964395235,0,699.2598531101916,0,0,0,0
2018-09-23,0,204.52747562264116,0,0,0,9.693862094665716,0,0,765.3590836767216,0,1349.550256190627,36.84555746815238,0,0,0,0,57.56827241220874,0,0,0,0,0,0,644.3370147339969,0,0,0,0
2018-09-30,0,192.19656690560944,0,0,0,0,0,0,476.2235249752627,0,1102.421801142327,30.364232358826765,0,0,0,0,55.746519184618165,0,0,0,0,0,0,564.9318936044705,0,0,0,0
2018-10-07,0,174.67222513712227,0,0,0,9.05855677250474,0,0,421.4872274320988,0,1076.938013066568,28.936169722859898,0,0,0,0,42.692873108458784,0,0,0,0,31.522674896146544,0,574.8299570800783,0,0,0,0
2018-10-14,0,106.27938825157004,0,0,0,10.176414836534049,0,0,358.58563491683117,0,1090.9847782489803,24.084667235452592,0,0,0,0,43.28289377980084,0,0,0,0,0,0,710.17347253055,0,0,0,0
2018-10-21,0,0,0,0,91.2760527439468,0,0,0,450.7970275266291,0,893.2916364977256,22.372886335603084,0,0,0,0,30.27123054097252,0,0,0,0,86.60440376354855,0,476.5700626866993,0,0,0,0
